feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,361,35482,24758,2476418,0.01886692316624601,0.05324686482766406,0.35432927792668506,0.14080636606713026,0.14080636606713026,False,0.0015624999999999997,0.039528470752104736,0.06631537238058403,0.2845030117295988,0.11012432874904976,0.11012432874904976,False
1,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,4083,409268,21036,2102632,-0.002730570202506032,0.017185556917693096,-0.15888750161449935,0.0586090795012993,0.0586090795012993,False,0.0015624999999999997,0.039528470752104736,0.04310270718378683,-0.06335031790145056,0.022510726279860626,0.022510726279860626,False
2,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,1843,182881,23276,2329019,0.008585911203006879,0.02431677622099227,0.3530859158704929,0.14024701878464976,0.14024701878464976,False,0.0015624999999999997,0.039528470752104736,0.0464091112367153,0.18500486163618599,0.06893631476470241,0.06893631476470241,False
3,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,805,81489,24314,2430411,-0.012023270600634095,0.03598993780708948,-0.3340731141320753,0.13175278620138606,0.13175278620138606,False,0.0015624999999999997,0.039528470752104736,0.053458167040763456,-0.22490989246724435,0.08510209737746503,0.08510209737746503,False
4,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,233,22018,24886,2489882,0.05920910086448059,0.06609580663161581,0.895807221091677,0.4313809287451727,0.4313809287451727,False,0.0015624999999999997,0.039528470752104736,0.07701399648300267,0.7688096134258959,0.35457150017914135,0.35457150017914135,False
5,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,1108,106091,24011,2405809,0.04581465485604039,0.03088054693876415,1.4836089188086738,0.8603957329796085,0.8603957329796085,False,0.0015624999999999997,0.039528470752104736,0.05016082315151154,0.9133553234893398,0.44242580105712176,0.44242580105712176,False
6,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,595,59127,24524,2452773,0.007252066793232524,0.04168161443530123,0.17398718575282826,0.06455544794339475,0.06455544794339475,False,0.0015624999999999997,0.039528470752104736,0.05744438163940066,0.12624501450387945,0.04598049530828703,0.04598049530828703,False
7,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,1108,112585,24011,2399315,-0.016299297844339894,0.030871760832670923,-0.5279678711131597,0.2236463646171778,0.2236463646171778,False,0.0015624999999999997,0.039528470752104736,0.050155414632017885,-0.32497583688471504,0.12772752712859048,0.12772752712859048,False
8,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.998754631079612,0.01800821975676432,0.01800821975676432,428,45554,24691,2466346,-0.06233982235694021,0.04895486942436616,-1.2734141279500992,0.6927797588998998,0.6927797588998998,False,0.0015624999999999997,0.039528470752104736,0.0629212145492817,-0.9907599972997003,0.4924101993060981,0.4924101993060981,False
9,3,20000,25119,2511900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,2487,242422,22632,2269478,0.028514540412834445,0.021231108263068746,1.343054731741684,0.7465305335614337,0.7465305335614337,False,0.0015624999999999997,0.039528470752104736,0.044869365474431946,0.6355013072133364,0.2797567291767342,0.2797567291767342,False
