feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,1026,102432,70943,7094468,0.0021378016958185212,0.031594039410765384,0.06766471574033944,0.02408474500755905,0.02408474500755905,False,0.0015624999999999997,0.039528470752104736,0.050603194822945674,0.042246377986576246,0.014886990679575237,0.014886990679575237,False
1,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,11715,1173620,60254,6023280,-0.002125877866923142,0.010147480631623748,-0.20949809554679288,0.0788030072765029,0.0788030072765029,False,0.0015624999999999997,0.039528470752104736,0.04081018700237943,-0.05209184331351369,0.018428040572644643,0.018428040572644643,False
2,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,5271,522581,66698,6674319,0.009374066091227788,0.01437899762192117,0.6519276473720791,0.2886586447355821,0.2886586447355821,False,0.0015624999999999997,0.039528470752104736,0.04206251980815241,0.22286030732307527,0.08426033984638881,0.08426033984638881,False
3,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,2349,234018,69620,6962882,0.0040921231871586,0.021080864389853023,0.19411553110356736,0.07258578833442296,0.07258578833442296,False,0.0015624999999999997,0.039528470752104736,0.044798469208482704,0.09134515664173065,0.032817987667562894,0.032817987667562894,False
4,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,616,62453,71353,7134447,-0.013075541159852912,0.04064759308480325,-0.3216805760816724,0.126275701082634,0.126275701082634,False,0.0015624999999999997,0.039528470752104736,0.056698561036306244,-0.2306150442068564,0.0874517449759835,0.0874517449759835,False
5,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,3099,305123,68870,6891777,0.016380579210766803,0.018454678256122244,0.8876112053231072,0.4262584464434448,0.4262584464434448,False,0.0015624999999999997,0.039528470752104736,0.04362424955843929,0.3754925156666199,0.15039989612619906,0.15039989612619906,False
6,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,1755,169627,70214,7027273,0.03514808951549261,0.024288226065710374,1.4471246035178325,0.8301433406112303,0.8301433406112303,False,0.0015624999999999997,0.039528470752104736,0.04639415831135481,0.7575973095494274,0.3480515853066903,0.3480515853066903,False
7,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,3195,321263,68774,6875637,-0.005611479756591171,0.018186217188208523,-0.30855673274536227,0.1205263637114877,0.1205263637114877,False,0.0015624999999999997,0.039528470752104736,0.04351136053511417,-0.1289658536892369,0.04702135477222003,0.04702135477222003,False
8,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.998754631079612,0.01800821975676432,0.01800821975676432,1281,128771,70688,7068129,-0.004939994334379152,0.02832647684704019,-0.17439494367953237,0.06471694855894233,0.06471694855894233,False,0.0015624999999999997,0.039528470752104736,0.04863012739615128,-0.10158300212000095,0.03664305918505873,0.03664305918505873,False
9,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,6860,695414,65109,6501486,-0.015012091147911888,0.01275588157639008,-1.1768760205251385,0.6211571399812309,0.6211571399812309,False,0.0015624999999999997,0.039528470752104736,0.041535677613238564,-0.36142641725260116,0.14400822172105607,0.14400822172105607,False
10,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.437384613096913,0.031147312395135615,0.031147312395135615,2300,224231,69669,6972669,0.026438286958951084,0.021298936319078202,1.2412961174624193,0.6685800360488743,0.6685800360488743,False,0.0015624999999999997,0.039528470752104736,0.04490149984492888,0.5888063216208353,0.25493207853870464,0.25493207853870464,False
11,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.546534318660695,0.028016796499415172,0.028016796499415172,2043,202314,69926,6994586,0.010287687974474201,0.022555331818021166,0.456108917282901,0.18821616873971975,0.18821616873971975,False,0.0015624999999999997,0.039528470752104736,0.04551091070744506,0.22604882685398017,0.08557039214948675,0.08557039214948675,False
12,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.375662563183692,0.012423519122681003,0.012423519122681003,863,88896,71106,7108004,-0.029436083862733706,0.03440248139866512,-0.8556383919409918,0.40649481663487286,0.40649481663487286,False,0.0015624999999999997,0.039528470752104736,0.05240258320336412,-0.5617296336040927,0.24086100151091744,0.24086100151091744,False
13,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.360070804608364,0.012616278628237018,0.012616278628237018,934,90897,71035,7106003,0.02803936689792866,0.03309547634943411,0.8472265696338315,0.40135299094302357,0.40135299094302357,False,0.0015624999999999997,0.039528470752104736,0.051553957702546484,0.5438838868532428,0.23171615392433348,0.23171615392433348,False
14,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.075432379677656,0.044132097261584464,0.044132097261584464,3157,317964,68812,6878936,-0.007325240078234341,0.018290130531341073,-0.40050234008347657,0.16191533551249887,0.16191533551249887,False,0.0015624999999999997,0.039528470752104736,0.043554894958586395,-0.16818408321726985,0.06226227705512725,0.06226227705512725,False
15,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.07712056778415272,-2.268357877243254,0.09377767238597205,0.10054014609511892,7157,676034,64812,6520866,0.06318070662017657,0.012520993487578158,5.045981908932143,6.345632735920432,6.345632735920432,True,0.0015624999999999997,0.039528470752104736,0.04146414448551874,1.5237431618115813,0.8942416301065104,0.8942416301065104,False
16,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.2978387584810154,0.035645407030986176,0.035645407030986176,2556,256793,69413,6940107,-0.004641954227639526,0.020238687650780032,-0.22936043619708799,0.08693421025791857,0.08693421025791857,False,0.0015624999999999997,0.039528470752104736,0.044408382967924376,-0.10452878302261878,0.03774921029930075,0.03774921029930075,False
17,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.7184481000236316,0.0618935125347984,0.0618935125347984,4549,445902,67420,6750998,0.02141359143578637,0.015395695080863333,1.390881757745593,0.7844647828860107,0.7844647828860107,False,0.0015624999999999997,0.039528470752104736,0.042420837179656404,0.5047894586591423,0.21203912091458177,0.21203912091458177,False
18,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.2944218533797125,0.01346079269516963,0.01346079269516963,984,96676,70985,7100224,0.01841431723570957,0.03225393049751742,0.5709169999336023,0.24560891992548275,0.24560891992548275,False,0.0015624999999999997,0.039528470752104736,0.05101780113390506,0.3609390610030017,0.14378785731828647,0.14378785731828647,False
19,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.737031867164516,0.02327030486346609,0.02327030486346609,1717,167275,70252,7029625,0.027020408283851716,0.024547839335145327,1.1007245043015412,0.5670041426616048,0.5670041426616048,False,0.0015624999999999997,0.039528470752104736,0.046530596557793104,0.5807019527525539,0.25069560840929567,0.25069560840929567,False
20,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-6.556007506029555,0.0014195319895624514,0.0014195319895624514,88,10315,71881,7186585,-0.15344783299729584,0.10681960240313623,-1.4365138003246358,0.8214368583459347,0.8214368583459347,False,0.0015624999999999997,0.039528470752104736,0.1138987596840462,-1.347230061354121,0.7498090410524547,0.7498090410524547,False
21,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.15084940358098142,-4.229219342775298,0.01435469711488455,0.01665302848230235,1173,103136,70796,7093764,0.1310992559850466,0.029599215063707565,4.4291463710397885,5.024077643336249,5.024077643336249,True,0.0015624999999999997,0.039528470752104736,0.049382320038528084,2.654781222971358,2.1003991110230027,2.1003991110230027,True
22,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.073415055476418,0.04421727528774924,0.04421727528774924,3188,317523,68781,6879377,0.004347389182513449,0.01820606013671016,0.23878802716615782,0.09083460780327404,0.09083460780327404,False,0.0015624999999999997,0.039528470752104736,0.04351965792261592,0.0998948381038224,0.03601026584040954,0.03601026584040954,False
23,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.287810693134072,0.013548869242372748,0.013548869242372748,939,97825,71030,7099075,-0.040982258360475865,0.03299753871907932,-1.2419792491001684,0.6690908892280265,0.6690908892280265,False,0.0015624999999999997,0.039528470752104736,0.051491140611926035,-0.7959089247866423,0.37050378158448977,0.37050378158448977,False
24,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.02792873645697539,-2.531181377375514,0.07370095437544205,0.07563047214648994,5541,529807,66428,6667093,0.048564594766267635,0.014055169977913212,3.455283347165758,3.2598625804684564,3.2598625804684564,True,0.0015624999999999997,0.039528470752104736,0.041952923653877004,1.1575973862260163,0.6072531559980178,0.6072531559980178,False
25,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.443238170715533,0.0799344369815687,0.0799344369815687,5804,574661,66165,6622239,0.010882012712447828,0.013758085087467195,0.7909540203644111,0.36757224569166674,0.36757224569166674,False,0.0015624999999999997,0.039528470752104736,0.04185432958815595,0.25999730062639087,0.09970615813553096,0.09970615813553096,False
26,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.0830361704963485,0.016576787746817045,0.016576787746817045,1290,119604,70679,7077296,0.07733096414213567,0.028240821738610523,2.738268909378429,2.2092677468849233,2.2092677468849233,True,0.0015624999999999997,0.039528470752104736,0.04858028419505156,1.5918178623996746,0.953014880678208,0.953014880678208,False
27,3,20000,71969,7196900,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.860069746772707,0.054163127279025065,0.054163127279025065,3858,390744,68111,6806156,-0.013338605786476885,0.016629973598441417,-0.8020821985987396,0.37416772411365234,0.37416772411365234,False,0.0015624999999999997,0.039528470752104736,0.04288421646579145,-0.3110376470820455,0.12160920088484187,0.12160920088484187,False
