feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,59,5711,3922,392389,0.0412651106759411,0.13129849954679237,0.3142847086476794,0.12302925892377702,0.12302925892377702,False,0.0015624999999999997,0.039528470752104736,0.1371196411286109,0.3009423765719795,0.11721460202386318,0.11721460202386318,False
1,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,654,64804,3327,333296,0.01155247389762075,0.04297488987639929,0.26881916232588354,0.10343584041496036,0.10343584041496036,False,0.0015624999999999997,0.039528470752104736,0.0583895637925875,0.1978516903920992,0.07408943700986018,0.07408943700986018,False
2,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,286,28982,3695,369118,-0.012707074934495743,0.06162964798386243,-0.20618444774863973,0.07745782713554784,0.07745782713554784,False,0.0015624999999999997,0.039528470752104736,0.07321689361489463,-0.1735538658787174,0.06438387625838729,0.06438387625838729,False
3,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,142,12862,3839,385238,0.10579109278635307,0.08578074153079314,1.2332732370747426,0.6625929782946626,0.6625929782946626,False,0.0015624999999999997,0.039528470752104736,0.09445017531785073,1.1200730165967088,0.5805686140974634,0.5805686140974634,False
4,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,39,3430,3942,394670,0.14207556948758412,0.16082331396715477,0.8834264509472829,0.42365184786735044,0.42365184786735044,False,0.0015624999999999997,0.039528470752104736,0.16560989799941922,0.8578929834742267,0.4078770507043872,0.4078770507043872,False
5,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,179,16901,3802,381199,0.06268166853987049,0.07678414656372429,0.8163360712468173,0.38267673402169256,0.38267673402169256,False,0.0015624999999999997,0.039528470752104736,0.08636147962789598,0.7258058663416349,0.32979331859305916,0.32979331859305916,False
6,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,76,9422,3905,388678,-0.21319827662903112,0.11591654909206495,-1.839239334667405,1.1812464653298502,1.1812464653298502,False,0.0015624999999999997,0.039528470752104736,0.12247100209197728,-1.7408061744192842,1.0876846130409104,1.0876846130409104,False
7,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,173,17738,3808,380362,-0.023425763683498003,0.07800809541403717,-0.3002991363801795,0.11693563784603189,0.11693563784603189,False,0.0015624999999999997,0.039528470752104736,0.08745148912468859,-0.2678715241783646,0.10303408176662425,0.10303408176662425,False
8,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.998754631079612,0.01800821975676432,0.01800821975676432,63,7157,3918,390943,-0.12202201031912865,0.12706495461514414,-0.960312075730955,0.4725013425453809,0.4725013425453809,False,0.0015624999999999997,0.039528470752104736,0.13307141951354032,-0.9169663235366077,0.444711689648962,0.444711689648962,False
9,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,397,38238,3584,359862,0.0426998133753928,0.053137865031526614,0.80356659700308,0.3750506549594099,0.3750506549594099,False,0.0015624999999999997,0.039528470752104736,0.06622788461145908,0.6447407104409412,0.2847529621997996,0.2847529621997996,False
10,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.437384613096913,0.031147312395135615,0.031147312395135615,140,12341,3841,385759,0.133835845749811,0.0863792360469236,1.5493983493568715,0.9161893613056685,0.9161893613056685,False,0.0015624999999999997,0.039528470752104736,0.09499406518330578,1.4088863919188424,0.7989614832768939,0.7989614832768939,False
11,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.546534318660695,0.028016796499415172,0.028016796499415172,118,11029,3863,387071,0.0736201023660285,0.0937598030791274,0.7851989866478042,0.36417768623820546,0.36417768623820546,False,0.0015624999999999997,0.039528470752104736,0.10175166177236,0.7235272730064326,0.3284976217446987,0.3284976217446987,False
12,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.375662563183692,0.012423519122681003,0.012423519122681003,44,4883,3937,393217,-0.09431137597205609,0.15143709141540093,-0.6227759334954103,0.2729211177731439,0.2729211177731439,False,0.0015624999999999997,0.039528470752104736,0.15651099851562028,-0.6025862518706219,0.26218422724739615,0.26218422724739615,False
13,3,20000,3981,398100,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.360070804608364,0.012616278628237018,0.012616278628237018,58,4956,3923,393144,0.1677647449477275,0.1324884539619094,1.2662593602002488,0.6873567642660985,0.6873567642660985,False,0.0015624999999999997,0.039528470752104736,0.13825950395259265,1.2134047942574118,0.6478655575838497,0.6478655575838497,False
