feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,3815,381386,264455,26445614,0.0004310460762698896,0.01638688585866357,0.02630433140180812,0.009210831468727575,0.009210831468727575,False,0.0015624999999999997,0.039528470752104736,0.04279053666577305,0.010073397294282388,0.003504645825213283,0.003504645825213283,False
1,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,43711,4377587,224559,22449413,-0.0017627645290691195,0.005253895557097851,-0.33551571589345336,0.13239341197792368,0.13239341197792368,False,0.0015624999999999997,0.039528470752104736,0.03987610084405059,-0.04420604050438696,0.015589639167889831,0.015589639167889831,False
2,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,19633,1947347,248637,24879653,0.008823429234860366,0.007450435268084986,1.1842837253625702,0.6265348651522196,0.6265348651522196,False,0.0015624999999999997,0.039528470752104736,0.040224482416606984,0.2193546990480988,0.08282348382784417,0.08282348382784417,False
3,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,8727,868751,259543,25958249,0.0047422557673582316,0.010937223994250136,0.43358861168531493,0.17744802353623676,0.17744802353623676,False,0.0015624999999999997,0.039528470752104736,0.04101369123476209,0.11562616347340189,0.04193862833364001,0.04193862833364001,False
4,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,2310,232829,265960,26594171,-0.007742922009621361,0.020997602225922105,-0.36875267596328287,0.14732968948092695,0.14732968948092695,False,0.0015624999999999997,0.039528470752104736,0.04475934873563342,-0.1729900507568631,0.06416071750320793,0.06416071750320793,False
5,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,11455,1134416,256815,25692584,0.010196023349922706,0.009597322070949378,1.0623821181103807,0.5405136539175783,0.5405136539175783,False,0.0015624999999999997,0.039528470752104736,0.040676880299914,0.2506589314309894,0.09578349577489023,0.09578349577489023,False
6,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,6440,632009,261830,26194991,0.01932791069143258,0.012677032100086331,1.5246400371030817,0.8950047834500648,0.8950047834500648,False,0.0015624999999999997,0.039528470752104736,0.041511530240002224,0.46560342583582737,0.19280375202621355,0.19280375202621355,False
7,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,11932,1199030,256338,25627970,-0.005062027678669397,0.009411633954666512,-0.5378479128121556,0.22864622594380343,0.22864622594380343,False,0.0015624999999999997,0.039528470752104736,0.0406334696241489,-0.12457778588666178,0.045343749247621454,0.045343749247621454,False
9,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,25748,2594999,242522,24232001,-0.008630304905801264,0.006586893566252425,-1.3102238284246979,0.7209719043032002,0.7209719043032002,False,0.0015624999999999997,0.039528470752104736,0.04007352201707678,-0.21536177683917024,0.08119132259049491,0.08119132259049491,False
10,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.437384613096913,0.031147312395135615,0.031147312395135615,8470,836343,259800,25990657,0.013128521652048173,0.011096848603745739,1.1830855877061028,0.6256637345008127,0.6256637345008127,False,0.0015624999999999997,0.039528470752104736,0.041056546967986156,0.31976682457697037,0.12543405771961194,0.12543405771961194,False
11,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.546534318660695,0.028016796499415172,0.028016796499415172,7568,751118,260702,26075882,0.007817681805009745,0.011718876420583212,0.6671016507417596,0.29696049471462505,0.29696049471462505,False,0.0015624999999999997,0.039528470752104736,0.04122901968954514,0.18961600018329208,0.07078035982906682,0.07078035982906682,False
12,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.375662563183692,0.012423519122681003,0.012423519122681003,3269,333087,265001,26493913,-0.018833330206772053,0.017682496625224108,-1.0650832066274103,0.5423628933593817,0.5423628933593817,False,0.0015624999999999997,0.039528470752104736,0.04330324106693472,-0.43491733511727176,0.17807894267905774,0.17807894267905774,False
13,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.360070804608364,0.012616278628237018,0.012616278628237018,3436,338530,264834,26488470,0.015199059133439488,0.017255763749720904,0.8808105716958091,0.4220255091003934,0.4220255091003934,False,0.0015624999999999997,0.039528470752104736,0.043130747531038474,0.35239498509738754,0.13993639702531965,0.13993639702531965,False
14,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.075432379677656,0.044132097261584464,0.044132097261584464,11788,1183099,256482,25643901,-0.0037678607659064915,0.009466338735132699,-0.39802724911192117,0.16076707463947576,0.16076707463947576,False,0.0015624999999999997,0.039528470752104736,0.04064617533112154,-0.09269902359107217,0.033322104885873075,0.033322104885873075,False
15,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.07712056778415272,-2.268357877243254,0.09377767238597205,0.10054014609511892,26820,2517717,241450,24309283,0.07000761465799069,0.006470306794333757,10.819829241991812,26.557060267926296,26.557060267926296,True,0.0015624999999999997,0.039528470752104736,0.04005452371471668,1.7478079419096613,1.0942187421459795,1.0942187421459795,False
18,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.2944218533797125,0.01346079269516963,0.01346079269516963,3674,360801,264596,26466199,0.018506806576713924,0.016695346681516517,1.108500885291761,0.5724399616257257,0.5724399616257257,False,0.0015624999999999997,0.039528470752104736,0.04290960965583379,0.43129748150011016,0.17636142123571505,0.17636142123571505,False
20,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-6.556007506029555,0.0014195319895624514,0.0014195319895624514,349,38196,267921,26788804,-0.08895029616004378,0.053769698751446306,-1.6542829553727263,1.0084636719152658,1.0084636719152658,False,0.0015624999999999997,0.039528470752104736,0.06673590116137855,-1.332870233443722,0.7385601358806633,0.7385601358806633,False
21,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.15084940358098142,-4.229219342775298,0.01435469711488455,0.01665302848230235,4417,384646,263853,26442354,0.1405775103344255,0.01525778399053909,9.21349459538774,19.500757600251116,19.500757600251116,True,0.0015624999999999997,0.039528470752104736,0.04237098030848414,3.317778095076951,3.042217786541759,3.042217786541759,True
23,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.287810693134072,0.013548869242372748,0.013548869242372748,3561,363723,264709,26463277,-0.021331861226062013,0.016951266192729707,-1.2584228802454365,0.6814382192707176,0.6814382192707176,False,0.0015624999999999997,0.039528470752104736,0.04300982940604137,-0.4959764202893034,0.20767062407951414,0.20767062407951414,False
24,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.02792873645697539,-2.531181377375514,0.07370095437544205,0.07563047214648994,20478,1976028,247792,24850972,0.038591717195442216,0.007308463699302237,5.280414432259778,6.889774007583496,6.889774007583496,True,0.0015624999999999997,0.039528470752104736,0.040198428347934426,0.9600304982427311,0.47231872688519594,0.47231872688519594,False
25,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.443238170715533,0.0799344369815687,0.0799344369815687,21544,2141817,246726,24685183,0.00638856557349603,0.007139750186364039,0.8947883898931547,0.43074291161017497,0.43074291161017497,False,0.0015624999999999997,0.039528470752104736,0.040168097200685086,0.15904576065871176,0.05867105864676761,0.05867105864676761,False
26,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.0830361704963485,0.016576787746817045,0.016576787746817045,4636,443664,263634,26383336,0.04481534756988954,0.014891773546694066,3.009402972007886,2.5820939416359727,2.5820939416359727,True,0.0015624999999999997,0.039528470752104736,0.04224056012135749,1.060955333952359,0.5395378717405541,0.5395378717405541,False
31,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7157681565510057,0.023758534248110776,0.023758534248110776,6393,638364,261877,26188636,0.001576449569688184,0.012721325390416243,0.12392180227351314,0.045093436123390056,0.045093436123390056,False,0.0015624999999999997,0.039528470752104736,0.04152507820207987,0.037963795324272846,0.013355193028902052,0.013355193028902052,False
33,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.06943006538994957,-3.463290071202023,0.030374983092827594,0.03248790669994827,8706,815480,259564,26011520,0.06758195145749812,0.010953266115865747,6.170027345506198,9.165718043098165,9.165718043098165,True,0.0015624999999999997,0.039528470752104736,0.04101797214155001,1.6476180544537349,1.0024778731227444,1.0024778731227444,False
34,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.485250302073423,0.0297348304969543,0.0297348304969543,8130,797135,260140,26029865,0.020375706581537784,0.0113194810687981,1.8000565977978416,1.143562940760476,1.143562940760476,False,0.0015624999999999997,0.039528470752104736,0.04111727923473145,0.4955509450228064,0.20746034630711682,0.20746034630711682,False
35,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-5.269410289796213,0.005120292381526855,0.005120292381526855,1358,137151,266912,26689849,-0.009587290137303889,0.0273346157831573,-0.3507380609758292,0.13919209028140145,0.13919209028140145,False,0.0015624999999999997,0.039528470752104736,0.04805914293880855,-0.1994894114010925,0.0747498461072474,0.0747498461072474,False
38,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.216577160998913,0.09827170023691945,0.09827170023691945,26454,2637183,241816,24189817,0.003467390644633044,0.006508198788658634,0.5327727005935059,0.22607397920101233,0.22607397920101233,False,0.0015624999999999997,0.039528470752104736,0.040060662144711205,0.08655350308758707,0.031037991811682958,0.031037991811682958,False
39,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.8914597848847503,0.052577354693144146,0.052577354693144146,13868,1412103,254402,25414897,-0.0190424958919294,0.008762656033529038,-2.1731420038702924,1.5262265458377866,1.5262265458377866,True,0.0015624999999999997,0.039528470752104736,0.04048807405597286,-0.47032357887915455,0.19509502050861846,0.19509502050861846,False
40,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.029126522470228844,-3.53368558248473,0.02836882140026808,0.02918278969884798,7934,761239,260336,26065761,0.04267520140361005,0.011455351590390267,3.7253506421758087,3.709867602584264,3.709867602584264,True,0.0015624999999999997,0.039528470752104736,0.04115489132605572,1.036941175849778,0.5232215785455303,0.5232215785455303,False
41,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.325251998813703,0.013057462630956019,0.013057462630956019,3629,350271,264641,26476729,0.03603174390276784,0.016798554645795685,2.1449311957196153,1.4954156706684272,1.4954156706684272,True,0.0015624999999999997,0.039528470752104736,0.04294987122434459,0.8389255398359504,0.39630244945948123,0.39630244945948123,False
43,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.05313845371354066,-3.2902075747499926,0.03590865911300521,0.037794330348491445,10078,964770,258192,25862230,0.04534766359200491,0.01020633998117359,4.443087696045036,5.052189006303102,5.052189006303102,True,0.0015624999999999997,0.039528470752104736,0.0408248622264828,1.1107854654948033,0.5740409784582454,0.5740409784582454,False
46,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.07372955902858937,-3.49673063225161,0.02940539743667179,0.03158430618868209,8551,787476,259719,26039524,0.0850418104717701,0.011049757411460057,7.696260406909071,13.853542843291981,13.853542843291981,True,0.0015624999999999997,0.039528470752104736,0.041043844104227324,2.0719747949488774,1.4171665971393155,1.4171665971393155,True
47,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.3808521454794183,0.032899271368188904,0.032899271368188904,8712,883345,259558,25943655,-0.01425736914227159,0.010945360630572429,-1.302594736115693,0.7150886366256286,0.7150886366256286,False,0.0015624999999999997,0.039528470752104736,0.04101586180166503,-0.34760623124814644,0.1377875405024919,0.1377875405024919,False
48,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.05482929726721402,-4.7322281611787,0.008729943043208063,0.009217429861704726,2449,234995,265821,26592005,0.04185843066259708,0.02040346808270094,2.05153508672806,1.3956133701026787,1.3956133701026787,True,0.0015624999999999997,0.039528470752104736,0.04448372185195159,0.9409831039297507,0.4600292255519516,0.4600292255519516,False
49,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.114107826773016,0.04252905743364522,0.04252905743364522,11230,1141469,257040,25685531,-0.016988979356576582,0.009687552018804023,-1.7536916781040375,1.099723824495375,1.099723824495375,False,0.0015624999999999997,0.039528470752104736,0.04069826364990322,-0.41743744899586105,0.16982306833238622,0.16982306833238622,False
51,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.4020428159208986,0.08301705415161746,0.08301705415161746,22447,2225616,245823,24601384,0.009334216618729014,0.00700758958870653,1.3320153100535579,0.7378927854016891,0.7378927854016891,False,0.0015624999999999997,0.039528470752104736,0.04014481674941048,0.23251361880649474,0.08823580952449539,0.08823580952449539,False
53,3,20000,268270,26827000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.3544354860447267,0.03375021838107597,0.03375021838107597,8955,905577,259315,25921423,-0.011525392189978705,0.010801035870614432,-1.0670635972365368,0.5437203505193973,0.5437203505193973,False,0.0015624999999999997,0.039528470752104736,0.040977583821868994,-0.2812609020600139,0.10873563942081979,0.10873563942081979,False
